rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
119,frame_0012.jpg,4.8,0.4934,0.5118,0.125,1.0,7,1,False,False
120,frame_0201.jpg,80.4,0.4917,0.6094,0.25,0.56,8,2,False,False
121,frame_0279.jpg,111.6,0.4898,0.6855,0.25,0.36,10,2,False,False
122,frame_0006.jpg,2.4,0.4894,0.4288,0.25,1.0,10,2,False,False
123,frame_0171.jpg,68.4,0.4886,0.6512,0.25,0.44,11,2,False,False
124,frame_0131.jpg,52.4,0.4858,0.5126,0.125,0.96,9,1,False,False
125,frame_0277.jpg,110.8,0.4847,0.5575,0.5,0.28,11,4,False,False
126,frame_0293.jpg,117.2,0.4839,0.5888,0.125,0.76,9,1,False,False
127,frame_0325.jpg,130.0,0.483,0.6501,0.5,0.04,14,4,False,False
128,frame_0194.jpg,77.6,0.4815,0.5511,0.5,0.28,8,4,False,False
129,frame_0328.jpg,131.2,0.4762,0.6954,0.375,0.08,19,3,False,False
130,frame_0122.jpg,48.8,0.4761,0.4873,0.375,0.6,14,3,False,False
131,frame_0371.jpg,148.4,0.474,0.691,0.375,0.08,16,3,False,False
132,frame_0268.jpg,107.2,0.4739,0.6909,0.375,0.08,12,3,False,False
133,frame_0113.jpg,45.2,0.47,0.6191,0.375,0.24,13,3,False,False
134,frame_0011.jpg,4.4,0.4699,0.4648,0.125,1.0,8,1,False,False
135,frame_0022.jpg,8.8,0.4689,0.3128,0.375,1.0,8,3,False,False
136,frame_0210.jpg,84.0,0.4677,0.5135,0.25,0.68,8,2,False,False
137,frame_0372.jpg,148.8,0.4662,0.6594,0.375,0.12,20,3,False,False
138,frame_0176.jpg,70.4,0.4649,0.6839,0.25,0.24,14,2,False,False
139,frame_0299.jpg,119.6,0.4645,0.5709,0.25,0.52,12,2,False,False
140,frame_0302.jpg,120.8,0.4633,0.5416,0.375,0.4,11,3,False,False
141,frame_0289.jpg,115.6,0.4626,0.4712,0.25,0.76,11,2,False,False
142,frame_0084.jpg,33.6,0.4624,0.4598,0.375,0.6,11,3,False,False
143,frame_0179.jpg,71.6,0.4624,0.5768,0.5,0.12,12,4,False,False
144,frame_0110.jpg,44.0,0.4617,0.5003,0.625,0.12,10,5,False,False
145,frame_0177.jpg,70.8,0.4615,0.6929,0.25,0.2,13,2,False,False
146,frame_0023.jpg,9.2,0.4613,0.3727,0.25,1.0,8,2,False,False
147,frame_0018.jpg,7.2,0.4591,0.4432,0.125,1.0,9,1,False,False
148,frame_0273.jpg,109.2,0.4553,0.5626,0.5,0.12,13,4,False,False
149,frame_0015.jpg,6.0,0.4488,0.4977,0.0,1.0,7,0,False,False
150,frame_0191.jpg,76.4,0.4472,0.5303,0.5,0.16,11,4,False,False
151,frame_0223.jpg,89.2,0.4471,0.5301,0.5,0.16,14,4,False,False
152,frame_0123.jpg,49.2,0.4456,0.4103,0.375,0.64,13,3,False,False
153,frame_0126.jpg,50.4,0.4436,0.5082,0.125,0.76,12,1,False,False
154,frame_0390.jpg,156.0,0.4435,0.5551,0.5,0.08,14,4,False,False
155,frame_0111.jpg,44.4,0.4412,0.5933,0.375,0.16,16,3,False,False
156,frame_0290.jpg,116.0,0.4407,0.4114,0.25,0.8,11,2,False,False
157,frame_0332.jpg,132.8,0.4381,0.7102,0.25,0.04,12,2,False,False
158,frame_0304.jpg,121.6,0.438,0.5231,0.375,0.32,11,3,False,False
159,frame_0167.jpg,66.8,0.4365,0.558,0.125,0.6,10,1,False,False
160,frame_0315.jpg,126.0,0.4358,0.5985,0.375,0.12,11,3,False,False
161,frame_0180.jpg,72.0,0.434,0.761,0.125,0.08,16,1,False,False
162,frame_0175.jpg,70.0,0.4335,0.53,0.375,0.28,12,3,False,False
163,frame_0394.jpg,157.6,0.4294,0.6017,0.375,0.08,10,3,False,False
164,frame_0094.jpg,37.6,0.4289,0.6278,0.25,0.2,11,2,False,False
165,frame_0105.jpg,42.0,0.4286,0.6751,0.25,0.08,13,2,False,False
166,frame_0184.jpg,73.6,0.4266,0.6712,0.25,0.08,8,2,False,False
167,frame_0306.jpg,122.4,0.4266,0.6072,0.25,0.24,13,2,False,False
168,frame_0399.jpg,159.6,0.4265,0.666,0.125,0.28,12,1,False,False
169,frame_0308.jpg,123.2,0.4259,0.6377,0.25,0.16,13,2,False,False
170,frame_0013.jpg,5.2,0.4257,0.3014,0.25,1.0,8,2,False,False
171,frame_0009.jpg,3.6,0.4249,0.3748,0.125,1.0,11,1,False,False
172,frame_0190.jpg,76.0,0.4244,0.5009,0.5,0.12,9,4,False,False
173,frame_0323.jpg,129.2,0.423,0.498,0.5,0.12,13,4,False,False
174,frame_0389.jpg,155.6,0.4216,0.6452,0.25,0.12,12,2,False,False
175,frame_0274.jpg,109.6,0.4205,0.7021,0.125,0.16,15,1,False,False
176,frame_0168.jpg,67.2,0.4201,0.4662,0.25,0.56,9,2,False,False
177,frame_0173.jpg,69.2,0.4186,0.5431,0.25,0.36,10,2,False,False
178,frame_0087.jpg,34.8,0.4155,0.5641,0.125,0.48,8,1,False,False
179,frame_0189.jpg,75.6,0.4149,0.4978,0.5,0.08,10,4,False,False
180,frame_0382.jpg,152.8,0.4144,0.5718,0.375,0.08,15,3,False,False
181,frame_0300.jpg,120.0,0.4133,0.4846,0.25,0.48,14,2,False,False
182,frame_0367.jpg,146.8,0.4122,0.6423,0.25,0.08,18,2,False,False
183,frame_0106.jpg,42.4,0.4102,0.7294,0.125,0.04,12,1,False,False
184,frame_0226.jpg,90.4,0.4081,0.6502,0.25,0.04,12,2,False,False
185,frame_0294.jpg,117.6,0.4077,0.3774,0.25,0.72,10,2,False,False
186,frame_0206.jpg,82.4,0.4065,0.3589,0.25,0.76,8,2,False,False
187,frame_0108.jpg,43.2,0.4062,0.5715,0.375,0.04,11,3,False,False
188,frame_0188.jpg,75.2,0.4048,0.7187,0.125,0.04,12,1,False,False
189,frame_0395.jpg,158.0,0.4036,0.6091,0.25,0.12,8,2,False,False
190,frame_0229.jpg,91.6,0.4031,0.5491,0.375,0.08,11,3,False,False
191,frame_0285.jpg,114.0,0.4013,0.4126,0.25,0.6,9,2,False,False
192,frame_0230.jpg,92.0,0.3961,0.6692,0.125,0.12,17,1,False,False
193,frame_0192.jpg,76.8,0.393,0.556,0.25,0.2,9,2,False,False
194,frame_0381.jpg,152.4,0.3919,0.4678,0.5,0.04,13,4,False,False
195,frame_0211.jpg,84.4,0.3918,0.5276,0.0,0.64,7,0,False,False
196,frame_0088.jpg,35.2,0.3901,0.4541,0.25,0.44,11,2,False,False
197,frame_0095.jpg,38.0,0.3899,0.6408,0.125,0.16,14,1,False,False
